row  number,age,work sector,salery,savings,Food expenses (month),zip code,other expenses (month),educaion years,economic class
1,37,B,6643,35501,1185,24602,1958,18,5
2,35,E,7580,28599,1960,21555,1732,19,6
3,29,B,7612,21559,1155,31315,1294,18,7
4,52,E,6958,44584,1760,24157,1157,17,6
5,38,D,2818,6724,470,18148,1935,10,1
6,48,D,2045,3920,468,17673,1360,10,1
7,34,E,6225,25285,1862,18295,1692,16,5
8,43,C,2903,2155,839,25789,1675,14,2
9,57,B,7306,24962,1360,23130,1773,17,6
10,51,B,6385,17002,1138,41361,1987,14,5
11,31,A,5121,27832,640,32330,1931,15,4
12,21,B,6222,21729,1146,17501,1127,16,6
13,44,E,8811,136112,2177,21972,1581,19,8
14,52,E,7484,28668,1317,32674,2195,18,6
15,46,D,2553,4806,413,29640,1993,12,1
16,32,A,5166,17124,1085,17972,1516,18,4
17,36,C,3776,3761,906,33228,1730,14,3
18,38,A,4586,30977,746,24038,2084,17,3
19,45,A,6186,25448,1296,30247,1703,20,5
20,44,E,9264,49895,1791,40165,1253,21,9
21,45,C,3347,3627,584,33069,1920,13,2
22,34,E,6691,50912,2465,26474,1866,20,5
23,35,D,2896,4477,463,31472,1945,11,1
24,55,D,3744,8625,499,35096,1416,13,3
25,33,D,3144,7671,524,30912,1782,9,2
26,19,D,2702,5589,555,34416,2043,13,1
27,38,C,3680,8229,713,41957,2043,11,2
28,31,B,7959,23646,1264,19177,1708,19,7
29,26,B,6111,23565,1107,34060,1829,19,5
30,49,D,3145,5709,468,35605,2067,14,2
31,56,E,6182,25958,1813,16465,2134,19,5
32,30,A,5174,26693,719,17644,1612,16,4
33,38,B,7611,6315,1340,20784,1576,14,7
34,26,A,5180,29849,696,16653,1633,15,4
35,30,C,4392,13426,746,37717,1715,16,3
36,27,C,3123,10993,775,36654,1887,14,2
37,20,E,8118,39916,1745,40852,1947,21,7
38,57,D,2149,3225,504,27822,1775,12,1
39,36,B,6851,20363,1085,40284,2024,18,5
40,43,D,2130,5133,486,28227,2151,13,0
41,34,C,3944,7874,853,26766,2554,13,2
42,22,D,3092,6079,444,22701,2348,13,1
43,52,A,5117,24470,1110,26432,1943,19,4
44,43,E,7562,16979,1551,32471,1879,17,6
45,40,A,5179,37560,1202,38513,1632,14,4
46,44,A,5181,17278,1172,22194,2110,17,4
47,48,C,3934,5222,760,20350,1947,15,2
